category,price,link,other_colors,height,depth,width,materials,cost
Beds,9585,https://www.ikea.com/sa/en/p/lidhult-corner-sofa-bed-6-seat-with-chaise-longue-lejde-red-brown-red-brown-s29277639/,Yes,102,164,387,steel,7668
Beds,5780,https://www.ikea.com/sa/en/p/vallentuna-modular-corner-sofa-3-seat-sofa-bed-and-storage-murum-white-s09278003/,Yes,84,93,266,steel,4277.2
Beds,3340,https://www.ikea.com/sa/en/p/lidhult-2-seat-sofa-bed-section-lejde-grey-black-s19290014/,Yes,95,97,160,wood,2471.6
Beds,2236,https://www.ikea.com/sa/en/p/flottebo-sofa-bed-with-side-table-gunnared-medium-grey-s89300750/,Yes,79,120,200,steel,1632.28
Beds,4645,https://www.ikea.com/sa/en/p/vimle-3-seat-sofa-bed-with-chaise-longue-gunnared-medium-grey-s49292686/,Yes,83,98,271,steel,3251.5
Beds,1295,https://www.ikea.com/sa/en/p/nyhamn-3-seat-sofa-bed-with-foam-mattress-skiftebo-yellow-s49306443/,Yes,90,97,200,wood,1010.1
Beds,2995,https://www.ikea.com/sa/en/p/holmsund-corner-sofa-bed-nordvalla-medium-grey-s79150746/,Yes,96,151,230,wood,2336.1
Beds,4320,https://www.ikea.com/sa/en/p/vallentuna-2-seat-modular-sofa-w-2-sofa-beds-murum-white-s29277724/,Yes,84,113,186,steel,3153.6
Beds,1596,https://www.ikea.com/sa/en/p/flottebo-sofa-bed-vissle-dark-grey-s59297481/,Yes,79,90,200,wood,1181.04
Beds,1520,https://www.ikea.com/sa/en/p/nyhamn-sofa-bed-with-triple-cushion-with-pocket-spring-mattress-knisa-grey-beige-s09306355/,Yes,90,97,200,wood,1185.6
Beds,300,https://www.ikea.com/sa/en/p/svaerta-desk-top-silver-colour-20249896/,No,2,88,200,plastic,240
Beds,7785,https://www.ikea.com/sa/en/p/lidhult-corner-sofa-bed-5-seat-lejde-grey-black-s29266184/,Yes,102,98,294,steel,5760.9
Beds,4270,https://www.ikea.com/sa/en/p/groenlid-3-seat-sofa-bed-with-open-end-ljungen-medium-grey-s29278158/,Yes,104,98,231,steel,3373.3
Beds,1845,https://www.ikea.com/sa/en/p/friheten-3-seat-sofa-bed-skiftebo-blue-60431563/,Yes,83,105,225,wood,1402.2
Beds,2945,https://www.ikea.com/sa/en/p/vimle-2-seat-sofa-bed-section-gunnared-beige-s29285521/,Yes,83,98,160,steel,2179.3
Beds,4790,https://www.ikea.com/sa/en/p/groenlid-3-seat-sofa-bed-with-chaise-longue-inseros-white-s89278481/,Yes,104,164,277,steel,3544.6
Beds,4841,https://www.ikea.com/sa/en/p/lidhult-2-seat-sofa-bed-section-grann-bomstad-dark-brown-s19290603/,No,95,97,160,steel,3533.93
Beds,2932,https://www.ikea.com/sa/en/p/vallentuna-2-seat-modular-sofa-with-sofa-bed-and-storage-hillared-light-blue-s59277652/,Yes,84,113,186,wood,2111.04
Beds,4390,https://www.ikea.com/sa/en/p/groenlid-3-seat-sofa-bed-ljungen-light-green-s69278415/,Yes,104,98,267,steel,3073
Beds,3355,https://www.ikea.com/sa/en/p/vimle-2-seat-sofa-bed-gunnared-medium-grey-s19285588/,Yes,83,98,190,steel,2449.15
Beds,1676,https://www.ikea.com/sa/en/p/flottebo-sofa-bed-with-side-table-vissle-purple-s29297454/,Yes,79,90,200,plastic,1307.28
Beds,1345,https://www.ikea.com/sa/en/p/lycksele-loevas-2-seat-sofa-bed-vallarum-cerise-s99280884/,Yes,87,100,142,plastic,1076
Beds,6110,https://www.ikea.com/sa/en/p/groenlid-corner-sofa-bed-4-seat-with-open-end-sporda-natural-s09278569/,Yes,104,98,235,steel,4643.6
Beds,7765,https://www.ikea.com/sa/en/p/vimle-corner-sofa-bed-5-seat-with-chaise-longue-dalstorp-multicolour-s19299726/,Yes,83,98,349,steel,5513.15
Beds,4040,https://www.ikea.com/sa/en/p/lidhult-2-seat-sofa-bed-lejde-grey-black-s29257066/,Yes,102,98,208,steel,2949.2
Beds,4120,https://www.ikea.com/sa/en/p/vimle-3-seat-sofa-bed-with-open-end-tallmyra-black-grey-s39292465/,Yes,83,98,246,steel,2925.2
Beds,4265,https://www.ikea.com/sa/en/p/vimle-3-seat-sofa-bed-gunnared-beige-s69292275/,Yes,83,98,261,steel,3412
Beds,1996,https://www.ikea.com/sa/en/p/flottebo-sofa-bed-vissle-purple-s69297471/,Yes,79,120,200,wood,1536.92
Beds,5840,https://www.ikea.com/sa/en/p/lidhult-3-seat-sofa-bed-with-chaise-longue-lejde-grey-black-s39266094/,Yes,102,164,298,steel,4321.6
Beds,1645,https://www.ikea.com/sa/en/p/lycksele-havet-two-seat-sofa-bed-vallarum-grey-s89149936/,Yes,87,100,142,plastic,1151.5
Beds,3145,https://www.ikea.com/sa/en/p/groenlid-2-seat-sofa-bed-section-ljungen-dark-red-s39277196/,Yes,104,98,160,steel,2232.95
Beds,7873,https://www.ikea.com/sa/en/p/lidhult-3-seat-sofa-bed-with-chaise-longue-grann-bomstad-dark-brown-s59266074/,No,102,164,298,steel,5904.75
Beds,5553,https://www.ikea.com/sa/en/p/lidhult-2-seat-sofa-bed-grann-bomstad-dark-brown-s39266008/,No,102,98,208,steel,3942.63
Chairs,595,https://www.ikea.com/sa/en/p/bingsta-armchair-vissle-dark-yellow-kabusa-dark-yellow-40455649/,Yes,76,58,70,steel,428.4
